お釈迦様,役割,主役
お釈迦様,場所,極楽の蓮池のふち
お釈迦様,次の場面,ぶらぶら歩く
お釈迦様,観察,カンダタ
お釈迦様,次の場面,蜘蛛の糸を御下す
カンダタ,役割,主役
カンダタ,部類,大泥棒
カンダタ,場所,地獄の底の血の池
ぶらぶら歩く,役割,場面
ぶらぶら歩く,次の場面,地獄の底を見る
地獄の底を見る,役割,場面
地獄の底を見る,状況,カンダタを見つける
地獄の底を見る,次の場面,蜘蛛の糸を御下す
蜘蛛の糸を御下す,役割,場面
蜘蛛の糸を御下す,感覚,慈悲
蜘蛛の糸を御下す,次の場面,血の池
血の池,役割,場面
血の池,感覚,疲労
血の池,次の場面,蜘蛛の糸を垂れてくる
蜘蛛の糸を垂れてくる,役割,場面
蜘蛛の糸を垂れてくる,感覚,喜び
蜘蛛の糸を垂れてくる,次の場面,蜘蛛の糸をのぼる
蜘蛛の糸をのぼる,役割,場面
蜘蛛の糸をのぼる,感覚,疲労
蜘蛛の糸をのぼる,次の場面,下を見る
下を見る,役割,場面
下を見る,感覚,驚き
下を見る,状況,数限りない罪人たちが蜘蛛の糸を上っている
下を見る,次の場面,蜘蛛の糸が切れる
蜘蛛の糸が切れる,役割,場面
蜘蛛の糸が切れる,状況,地獄の底に落ちる
蜘蛛の糸が切れる,次の場面,地獄の底を見る
一部始終を見る,役割,場面
一部始終を見る,感覚,悲しい
一部始終をを見る,行動,またぶらぶら歩きはじめる
